month,year,nfirms,me,div_yld,log_excess_ret
5,1998,9051,12416335450.5222,0.01402051546787029,-0.0301997445612359
6,1998,9034,12868710557.20312,0.01367931045608005,0.02718463698829414
7,1998,9016,12581716296.5,0.01395605667748062,-0.027795989036812067
8,1998,8964,10573814135.52981,0.01680585696571343,-0.175933822354367
9,1998,8892,11247971030.79688,0.0159375447129454,0.05778554445483444
10,1998,8788,12079008283.84375,0.0148090492846676,0.06793364441363661
11,1998,8756,12805822616.04688,0.01405317908550674,0.05686029748945932
12,1998,8710,13576484394.45312,0.01325782079386133,0.05748139674370062
1,1999,8656,14025946634.15625,0.01289674545529083,0.03407466997723363
2,1999,8619,13578598753.82812,0.01327504629899054,-0.04243725287904968
3,1999,8541,14117129365.04688,0.01295732016110506,0.03353035596034893
4,1999,8502,14857875694.46875,0.01224753132063552,0.04423185630477643
5,1999,8486,14605548941.07812,0.01299892685068387,-0.024494042266158554
6,1999,8474,15305124678.71875,0.01244791573602088,0.04583068039614123
7,1999,8462,14892375700.8125,0.01284269574410409,-0.035119439310176394
8,1999,8433,14832253827.42188,0.01302513095059535,-0.01374089728928233
9,1999,8408,14549184129.125,0.01335603625934909,-0.026855510097867352
10,1999,8414,15524401468.59375,0.01252339698339932,0.05636225632479931
11,1999,8392,16141222377.23438,0.01216036254718994,0.032118444700221106
12,1999,8361,17613307827.54688,0.01117168266824377,0.0762065357440846
1,2000,8323,16965254030.4375,0.01162174649739812,-0.04475229349949802
2,2000,8328,17701676678.51562,0.01125126384771818,0.02684254681421949
3,2000,8309,18811041649.1875,0.01056364477017925,0.04750266749401452
4,2000,8326,17785007955.85938,0.0113685854256053,-0.06609429284096412
5,2000,8331,17043248716.70312,0.01163686660117802,-0.04434077708900828
6,2000,8328,18047248774.5,0.01085722811307431,0.04547659425170707
7,2000,8342,17655642513.0,0.01110207358489636,-0.022567600507836207
8,2000,8362,18998906819.88314,0.01048077683062807,0.06735140428280081
9,2000,8343,18111657710.13704,0.01078869380448511,-0.05757093521274586
10,2000,8286,17674505710.4671,0.01108650896725127,-0.029772158333669994
11,2000,8216,15832573368.28683,0.01254625730579811,-0.1130705000692349
12,2000,8133,16116304766.50865,0.0122015654146277,0.015115213042812792
1,2001,8049,16737901865.32858,0.01184002909620086,0.03401516556356709
